observation_id,observed_at,product_id,product_query,normalized_product_name,brand,model,source,source_url,seller_name,listed_price,availability_status,warranty,notes
OBS-20260528-016,2026-05-28,SMSN-GW6C,Samsung Galaxy Watch 6 Classic,Samsung Galaxy Watch 6 Classic,Samsung,Galaxy Watch 6 Classic,Small Online Store,,Pars Digital,95230000,limited,not listed,Price visible but seller marks low availability
OBS-20260528-017,2026-05-28,SMSN-GW7,Samsung Galaxy Watch 7,Samsung Galaxy Watch 7,Samsung,Galaxy Watch 7,Torob,,Arya Wearables,62460000,available,18 months,Demo observation
OBS-20260528-018,2026-05-28,SMSN-GW7,Samsung Galaxy Watch 7,Samsung Galaxy Watch 7,Samsung,Galaxy Watch 7,Digikala,,Tehran Watch Center,65060000,available,12 months,Demo observation
OBS-20260528-019,2026-05-28,SMSN-GW7,Samsung Galaxy Watch 7,Samsung Galaxy Watch 7,Samsung,Galaxy Watch 7,Emalls,,Pars Digital,67660000,limited,seller warranty,Demo observation
OBS-20260528-020,2026-05-28,SMSN-GW7,Samsung Galaxy Watch 7,Samsung Galaxy Watch 7,Samsung,Galaxy Watch 7,Small Online Store,,Mehr Gadget,70260000,unavailable,not listed,Price visible but seller marks low availability
OBS-20260528-021,2026-05-28,XIAO-WS3,Xiaomi Watch S3,Xiaomi Watch S3,Xiaomi,Watch S3,Torob,,Tehran Watch Center,28200000,available,18 months,Demo observation
OBS-20260528-022,2026-05-28,XIAO-WS3,Xiaomi Watch S3,Xiaomi Watch S3,Xiaomi,Watch S3,Digikala,,Pars Digital,29380000,limited,12 months,Demo observation
OBS-20260528-023,2026-05-28,XIAO-WS3,Xiaomi Watch S3,Xiaomi Watch S3,Xiaomi,Watch S3,Emalls,,Mehr Gadget,30560000,unavailable,seller warranty,Demo observation
OBS-20260528-024,2026-05-28,XIAO-WS3,Xiaomi Watch S3,Xiaomi Watch S3,Xiaomi,Watch S3,Small Online Store,,Negin Mobile,31730000,available,not listed,Price visible but seller marks low availability
OBS-20260528-025,2026-05-28,REDM-W4,Redmi Watch 4,Redmi Watch 4,Redmi,Watch 4,Torob,,Pars Digital,18100000,limited,18 months,Demo observation
OBS-20260528-026,2026-05-28,REDM-W4,Redmi Watch 4,Redmi Watch 4,Redmi,Watch 4,Digikala,,Mehr Gadget,18850000,unavailable,12 months,Demo observation
OBS-20260528-027,2026-05-28,REDM-W4,Redmi Watch 4,Redmi Watch 4,Redmi,Watch 4,Emalls,,Negin Mobile,19600000,available,seller warranty,Demo observation
OBS-20260528-028,2026-05-28,REDM-W4,Redmi Watch 4,Redmi Watch 4,Redmi,Watch 4,Small Online Store,,Arya Wearables,20360000,available,not listed,Price visible but seller marks low availability
OBS-20260528-029,2026-05-28,HUAW-GT4,Huawei Watch GT 4,Huawei Watch GT 4,Huawei,Watch GT 4,Torob,,Mehr Gadget,56460000,unavailable,18 months,Demo observation
OBS-20260528-030,2026-05-28,HUAW-GT4,Huawei Watch GT 4,Huawei Watch GT 4,Huawei,Watch GT 4,Digikala,,Negin Mobile,58810000,available,12 months,Demo observation
OBS-20260528-031,2026-05-28,HUAW-GT4,Huawei Watch GT 4,Huawei Watch GT 4,Huawei,Watch GT 4,Emalls,,Arya Wearables,61160000,available,seller warranty,Demo observation
OBS-20260528-032,2026-05-28,HUAW-GT4,Huawei Watch GT 4,Huawei Watch GT 4,Huawei,Watch GT 4,Small Online Store,,Tehran Watch Center,63510000,limited,not listed,Price visible but seller marks low availability
OBS-20260528-033,2026-05-28,AMAZ-GTR4,Amazfit GTR 4,Amazfit GTR 4,Amazfit,GTR 4,Torob,,Negin Mobile,38980000,available,18 months,Demo observation
OBS-20260528-034,2026-05-28,AMAZ-GTR4,Amazfit GTR 4,Amazfit GTR 4,Amazfit,GTR 4,Digikala,,Arya Wearables,40600000,available,12 months,Demo observation
OBS-20260528-035,2026-05-28,AMAZ-GTR4,Amazfit GTR 4,Amazfit GTR 4,Amazfit,GTR 4,Emalls,,Tehran Watch Center,42220000,limited,seller warranty,Demo observation
OBS-20260528-036,2026-05-28,AMAZ-GTR4,Amazfit GTR 4,Amazfit GTR 4,Amazfit,GTR 4,Small Online Store,,Pars Digital,43850000,unavailable,not listed,Price visible but seller marks low availability
OBS-20260528-037,2026-05-28,AMAZ-GTS4,Amazfit GTS 4,Amazfit GTS 4,Amazfit,GTS 4,Torob,,Arya Wearables,38320000,available,18 months,Demo observation
OBS-20260528-038,2026-05-28,AMAZ-GTS4,Amazfit GTS 4,Amazfit GTS 4,Amazfit,GTS 4,Digikala,,Tehran Watch Center,39920000,limited,12 months,Demo observation
OBS-20260528-039,2026-05-28,AMAZ-GTS4,Amazfit GTS 4,Amazfit GTS 4,Amazfit,GTS 4,Emalls,,Pars Digital,41520000,unavailable,seller warranty,Demo observation
OBS-20260528-040,2026-05-28,AMAZ-GTS4,Amazfit GTS 4,Amazfit GTS 4,Amazfit,GTS 4,Small Online Store,,Mehr Gadget,43110000,available,not listed,Price visible but seller marks low availability
OBS-20260528-041,2026-05-28,HAYL-RS4P,Haylou RS4 Plus,Haylou RS4 Plus,Haylou,RS4 Plus,Torob,,Tehran Watch Center,8960000,limited,18 months,Demo observation
OBS-20260528-042,2026-05-28,HAYL-RS4P,Haylou RS4 Plus,Haylou RS4 Plus,Haylou,RS4 Plus,Digikala,,Pars Digital,9330000,unavailable,12 months,Demo observation
OBS-20260528-043,2026-05-28,HAYL-RS4P,Haylou RS4 Plus,Haylou RS4 Plus,Haylou,RS4 Plus,Emalls,,Mehr Gadget,9700000,available,seller warranty,Demo observation
OBS-20260528-044,2026-05-28,HAYL-RS4P,Haylou RS4 Plus,Haylou RS4 Plus,Haylou,RS4 Plus,Small Online Store,,Negin Mobile,10080000,available,not listed,Price visible but seller marks low availability
OBS-20260528-045,2026-05-28,KIES-KRPRO,Kieslect Kr Pro,Kieslect Kr Pro,Kieslect,Kr Pro,Torob,,Pars Digital,12840000,unavailable,18 months,Demo observation
OBS-20260528-046,2026-05-28,KIES-KRPRO,Kieslect Kr Pro,Kieslect Kr Pro,Kieslect,Kr Pro,Digikala,,Mehr Gadget,13370000,available,12 months,Demo observation
OBS-20260528-047,2026-05-28,KIES-KRPRO,Kieslect Kr Pro,Kieslect Kr Pro,Kieslect,Kr Pro,Emalls,,Negin Mobile,13900000,available,seller warranty,Demo observation
OBS-20260528-048,2026-05-28,KIES-KRPRO,Kieslect Kr Pro,Kieslect Kr Pro,Kieslect,Kr Pro,Small Online Store,,Arya Wearables,14440000,limited,not listed,Price visible but seller marks low availability
OBS-20260528-049,2026-05-28,FITB-CHG6,Fitbit Charge 6,Fitbit Charge 6,Fitbit,Charge 6,Torob,,Mehr Gadget,34450000,available,18 months,Demo observation
OBS-20260528-050,2026-05-28,FITB-CHG6,Fitbit Charge 6,Fitbit Charge 6,Fitbit,Charge 6,Digikala,,Negin Mobile,35890000,available,12 months,Demo observation
OBS-20260528-051,2026-05-28,FITB-CHG6,Fitbit Charge 6,Fitbit Charge 6,Fitbit,Charge 6,Emalls,,Arya Wearables,37330000,limited,seller warranty,Demo observation
OBS-20260528-052,2026-05-28,FITB-CHG6,Fitbit Charge 6,Fitbit Charge 6,Fitbit,Charge 6,Small Online Store,,Tehran Watch Center,38760000,unavailable,not listed,Price visible but seller marks low availability
OBS-20260528-053,2026-05-28,GARM-FR165,Garmin Forerunner 165,Garmin Forerunner 165,Garmin,Forerunner 165,Torob,,Negin Mobile,52430000,available,18 months,Demo observation
OBS-20260528-054,2026-05-28,GARM-FR165,Garmin Forerunner 165,Garmin Forerunner 165,Garmin,Forerunner 165,Digikala,,Arya Wearables,54610000,limited,12 months,Demo observation
OBS-20260528-055,2026-05-28,GARM-FR165,Garmin Forerunner 165,Garmin Forerunner 165,Garmin,Forerunner 165,Emalls,,Tehran Watch Center,56790000,unavailable,seller warranty,Demo observation
OBS-20260528-056,2026-05-28,GARM-FR165,Garmin Forerunner 165,Garmin Forerunner 165,Garmin,Forerunner 165,Small Online Store,,Pars Digital,58980000,available,not listed,Price visible but seller marks low availability
OBS-20260528-057,2026-05-28,GARM-VENU3,Garmin Venu 3,Garmin Venu 3,Garmin,Venu 3,Torob,,Arya Wearables,95260000,limited,18 months,Demo observation
OBS-20260528-058,2026-05-28,GARM-VENU3,Garmin Venu 3,Garmin Venu 3,Garmin,Venu 3,Digikala,,Tehran Watch Center,99230000,unavailable,12 months,Demo observation
OBS-20260528-059,2026-05-28,GARM-VENU3,Garmin Venu 3,Garmin Venu 3,Garmin,Venu 3,Emalls,,Pars Digital,103200000,available,seller warranty,Demo observation
OBS-20260528-060,2026-05-28,GARM-VENU3,Garmin Venu 3,Garmin Venu 3,Garmin,Venu 3,Small Online Store,,Mehr Gadget,107170000,available,not listed,Price visible but seller marks low availability
OBS-20260528-061,2026-05-28,POLR-IGN3,Polar Ignite 3,Polar Ignite 3,Polar,Ignite 3,Torob,,Tehran Watch Center,71950000,unavailable,18 months,Demo observation
OBS-20260528-062,2026-05-28,POLR-IGN3,Polar Ignite 3,Polar Ignite 3,Polar,Ignite 3,Digikala,,Pars Digital,74950000,available,12 months,Demo observation
OBS-20260528-063,2026-05-28,POLR-IGN3,Polar Ignite 3,Polar Ignite 3,Polar,Ignite 3,Emalls,,Mehr Gadget,77950000,available,seller warranty,Demo observation
OBS-20260528-064,2026-05-28,POLR-IGN3,Polar Ignite 3,Polar Ignite 3,Polar,Ignite 3,Small Online Store,,Negin Mobile,80950000,limited,not listed,Price visible but seller marks low availability
OBS-20260528-065,2026-05-28,SUUN-RACES,Suunto Race S,Suunto Race S,Suunto,Race S,Torob,,Pars Digital,76900000,available,18 months,Demo observation
OBS-20260528-066,2026-05-28,SUUN-RACES,Suunto Race S,Suunto Race S,Suunto,Race S,Digikala,,Mehr Gadget,80100000,available,12 months,Demo observation
OBS-20260528-067,2026-05-28,SUUN-RACES,Suunto Race S,Suunto Race S,Suunto,Race S,Emalls,,Negin Mobile,83300000,limited,seller warranty,Demo observation
OBS-20260528-068,2026-05-28,SUUN-RACES,Suunto Race S,Suunto Race S,Suunto,Race S,Small Online Store,,Arya Wearables,86510000,unavailable,not listed,Price visible but seller marks low availability
OBS-20260528-069,2026-05-28,MOBV-TWP5,Mobvoi TicWatch Pro 5,Mobvoi TicWatch Pro 5,Mobvoi,TicWatch Pro 5,Torob,,Mehr Gadget,71770000,available,18 months,Demo observation
OBS-20260528-070,2026-05-28,MOBV-TWP5,Mobvoi TicWatch Pro 5,Mobvoi TicWatch Pro 5,Mobvoi,TicWatch Pro 5,Digikala,,Negin Mobile,74760000,limited,12 months,Demo observation
OBS-20260528-071,2026-05-28,MOBV-TWP5,Mobvoi TicWatch Pro 5,Mobvoi TicWatch Pro 5,Mobvoi,TicWatch Pro 5,Emalls,,Arya Wearables,77750000,unavailable,seller warranty,Demo observation
OBS-20260528-072,2026-05-28,MOBV-TWP5,Mobvoi TicWatch Pro 5,Mobvoi TicWatch Pro 5,Mobvoi,TicWatch Pro 5,Small Online Store,,Tehran Watch Center,80740000,available,not listed,Price visible but seller marks low availability
OBS-20260528-073,2026-05-28,SKGN-FG6,Skagen Falster Gen 6,Skagen Falster Gen 6,Skagen,Falster Gen 6,Torob,,Negin Mobile,59700000,limited,18 months,Demo observation
OBS-20260528-074,2026-05-28,SKGN-FG6,Skagen Falster Gen 6,Skagen Falster Gen 6,Skagen,Falster Gen 6,Digikala,,Arya Wearables,62190000,unavailable,12 months,Demo observation
OBS-20260528-075,2026-05-28,SKGN-FG6,Skagen Falster Gen 6,Skagen Falster Gen 6,Skagen,Falster Gen 6,Emalls,,Tehran Watch Center,64680000,available,seller warranty,Demo observation
OBS-20260528-076,2026-05-28,SKGN-FG6,Skagen Falster Gen 6,Skagen Falster Gen 6,Skagen,Falster Gen 6,Small Online Store,,Pars Digital,67170000,available,not listed,Price visible but seller marks low availability
OBS-20260528-077,2026-05-28,AMAZ-BIP5,Amazfit Bip 5,Amazfit Bip 5,Amazfit,Bip 5,Torob,,Arya Wearables,16700000,unavailable,18 months,Demo observation
OBS-20260528-078,2026-05-28,AMAZ-BIP5,Amazfit Bip 5,Amazfit Bip 5,Amazfit,Bip 5,Digikala,,Tehran Watch Center,17400000,available,12 months,Demo observation
OBS-20260528-079,2026-05-28,AMAZ-BIP5,Amazfit Bip 5,Amazfit Bip 5,Amazfit,Bip 5,Emalls,,Pars Digital,18100000,available,seller warranty,Demo observation
OBS-20260528-080,2026-05-28,AMAZ-BIP5,Amazfit Bip 5,Amazfit Bip 5,Amazfit,Bip 5,Small Online Store,,Mehr Gadget,18790000,limited,not listed,Price visible but seller marks low availability
